applicability,service,reporting_period,section,indicator,scope,value,contextual_information
All,Spotify Main,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,Total number,103155.0,
All,Spotify Main,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,31178.0,
All,Spotify Main,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,0.9999914,
All,Spotify Main,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,0.9981462,
All,Spotify Main,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,0.9439746,
All,Spotify Main,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,Own-initiative,103155.0,
All,Spotify Main,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Own-initiative,28869.0,
All,Spotify Main,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative,0.9999985,
All,Spotify Main,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative,0.9988674,
All,Spotify Main,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative,0.9881619,
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means,NAM Total,52325.0,
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Total,43453.0,
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Total,0.7812352,
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Total,0.9946146,
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Total,0.7738103,
