applicability,service,reporting_period,category_of_illegal_content,sub_category_other,scope,num_orders_against_illegal,num_items_in_orders,median_time_inform_authority_act,median_time_give_effect_act,num_orders_provide_info,median_time_inform_authority_info,median_time_give_effect_info
All,Spotify Main,2025-01-01/2025-12-31,TOTAL,,TOTAL,30.0,46.0,0.0,0.84,6.0,0.0,150.46
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_ANIMAL_HARM,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,TOTAL,0.0,0.0,0.0,0.0,1.0,0.0,177.26
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,DATA BREACH,TOTAL,0.0,0.0,0.0,0.0,1.0,0.0,177.26
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,TOTAL,7.0,8.0,0.0,0.78,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_DEFAMATION,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_DISCRIMINATION,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_HATE_SPEECH,,TOTAL,7.0,8.0,0.0,0.78,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
