applicability,service,reporting_period,category_of_illegal_content,sub_category_other,num_notices_received,num_notices_trusted_flaggers,num_items_in_notices,num_items_trusted_flaggers,median_time_to_action,median_time_to_action_tf,num_actions_law,num_actions_law_tf,num_actions_tc,num_actions_tc_tf
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,TOTAL,,40882.0,0.0,23831.0,0.0,0.0,0.0,514.0,0.0,1022.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_ANIMAL_HARM,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,1.0,0.0,1.0,0.0,32.07,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,2.0,0.0,2.0,0.0,7.39,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,1.0,0.0,1.0,0.0,124.35,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,2.0,0.0,2.0,0.0,14.51,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,6.0,0.0,6.0,0.0,10.71,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,3.0,0.0,3.0,0.0,352.97,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_DEFAMATION,,5.0,0.0,5.0,0.0,82.06,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_DISCRIMINATION,,1.0,0.0,1.0,0.0,8.49,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_HATE_SPEECH,,25666.0,0.0,12954.0,0.0,0.0,0.0,0.0,0.0,763.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,,,,,,,,,,
