applicability,service,reporting_period,category_of_illegal_content,sub_category_other,num_measures_own_initiative,num_measures_automated,visibility_removal,visibility_disable,visibility_demoted,visibility_age_restricted,visibility_interaction_restricted,visibility_labelled,visibility_other,monetary_suspension,monetary_termination,monetary_other,service_suspension,service_termination,account_suspension,account_termination
All,Spotify Main,2025-01-01/2025-12-31,TOTAL,,503.0,355.0,150.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,353.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_ANIMAL_HARM,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_DEFAMATION,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_DISCRIMINATION,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_HATE_SPEECH,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,18.0,2.0,18.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,128.0,0.0,128.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"The misappropriation of a person’s likeness, voice, or other indicia of personal identity.",355.0,351.0,4.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,351.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"In accordance with our Intellectual Property Policy, Spotify will terminate the accounts of repeat infringers of intellectual property.",2.0,2.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,2.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
